"All groups CPI and Trimmed mean, Australia, annual movement (%)",,
,All groups CPI (%),Trimmed mean (%)
22-Mar,5.1,3.8
,,
,,
22-Jun,6.2,4.9
,,
,,
22-Sep,7.3,6
,,
,,
22-Dec,7.9,6.8
,,
,,
23-Mar,7,6.5
,,
,,
23-Jun,6,5.8
,,
,,
23-Sep,5.3,5.1
,,
,,
23-Dec,4.1,4.2
,,
,,
24-Mar,3.6,4.1
,,
,,
24-Jun,3.8,4.1
,,
,,
24-Sep,2.9,3.6
,,
,,
24-Dec,2.4,3.3
,,
,,
25-Mar,2.4,2.9
25-Apr,2.4,3.2
25-May,2.1,3
25-Jun,1.9,2.8
25-Jul,3,3
25-Aug,3.2,3
25-Sep,3.6,3.2
25-Oct,3.8,3.3
25-Nov,3.4,3.2
25-Dec,3.8,3.3
26-Jan,3.8,3.3
26-Feb,3.7,3.3
26-Mar,4.6,3.3
26-Apr,4.2,3.4
26-May,4,3.6
,,
 (a),,
,,
 a. Annual movements prior to April 2025 are calculated by comparing each quarter to the same quarter in the previous year.  From April 2025 these movements are calculated by comparing each month to the same month in the previous year.,,
,,
" Source: Australian Bureau of Statistics, Consumer Price Index, Australia May 2026",,
